"city","country","name","japanese_name","address","japanese_address","capacity","image_url"
"Lezhë","Albania","Stadiumi Besëlidhja","ベセリジャスタジアム","Lagja Besëlidhja 54","","3500","https://media.api-sports.io/football/venues/2162.png"
"Burreli","Albania","Stadiumi Liri Ballabani","リリ・バラバニスタジアム","","","3000","https://media.api-sports.io/football/venues/2163.png"
"Ballsh","Albania","Stadiumi Adush Muça","スタジアム・アドゥシュ・ムチャ","Stadiumi Adush Muça","","3360","https://media.api-sports.io/football/venues/2164.png"
"Elbasan","Albania","Elbasan Arena","エルバサンアリーナ","Bulevardi Qemal Stafa","","12800","https://media.api-sports.io/football/venues/2.png"
"Rrogozhinë","Albania","Arena Egnatia","アリーナ エグナティア","","","4000","https://media.api-sports.io/football/venues/12601.png"
"Shijak","Albania","Stadiumi Tofik Jashari","トフィク・ジャシャリスタジアム","","","4000","https://media.api-sports.io/football/venues/2167.png"
"Peshkopi","Albania","Stadiumi Korabi","コラビスタジアム","","","3000","https://media.api-sports.io/football/venues/2168.png"
"Lushnjë","Albania","Stadiumi Roza Haxhiu","スタジアム ロザ ハシュー","Rruga Nexhat Nepravishta","","8000","https://media.api-sports.io/football/venues/2169.png"
"Orikum","Albania","Fusha Sportive Orikum","フーシャ・スポルティーフ・オリクム","","","200","https://media.api-sports.io/football/venues/2170.png"
"Pogradec","Albania","Stadiumi Gjorgji Kyçyku","ギョルジ・キチクスタジアム","","","5000","https://media.api-sports.io/football/venues/2171.png"
"Shënkoll","Albania","Stadiumi Shënkoll","シェンコールスタジアム","Lezhë - Shënkoll","","500","https://media.api-sports.io/football/venues/2172.png"
"Berat","Albania","Stadiumi Tomori","トモリスタジアム","","","12000","https://media.api-sports.io/football/venues/2173.png"
"Cërrik","Albania","Stadiumi Nexhip Trungu","ネクヒップ トゥルング スタジアム","","","6600","https://media.api-sports.io/football/venues/2174.png"
"Shkodër","Albania","Fusha sportive Reshit Rusi","フシャ・スポルティヴ・レシット・ルシ","Lagjia Skenderbeg","","1200","https://media.api-sports.io/football/venues/2175.png"
"Shkodër","Albania","Stadiumi Loro Boriçi","ロロ・ボリチスタジアム","Rruga Musa Luli 1","","16000","https://media.api-sports.io/football/venues/1966.png"
"Vora","Albania","Stadiumi Vora","スタジアム・ヴォラ","Marqinet","","1200","https://media.api-sports.io/football/venues/20286.png"
"Kuçovë","Albania","Stadiumi Bashkim Sulejmani","スタジアムバシュキム・スレイマニ","","","5000","https://media.api-sports.io/football/venues/2620.png"
"Peqin","Albania","Stadiumi Shkumbini","シュクンビニスタジアム","Bulevardi Mustafa Gjinishi","","4000","https://media.api-sports.io/football/venues/2621.png"
"Pukë","Albania","Stadiumi Ismail Xhemali","イスマイル・シェマリスタジアム","","","1950","https://media.api-sports.io/football/venues/2622.png"
"Mamurrasi","Albania","Stadiumi Mamurrasi","マムラシスタジアム","","","1000","https://media.api-sports.io/football/venues/2623.png"
"Librazhd","Albania","Stadiumi Sopoti","ソポティスタジアム","","","3000","https://media.api-sports.io/football/venues/2624.png"
"Sarandë","Albania","Stadiumi Andon Lapa","アンドン ラパ スタジアム","","","5000","https://media.api-sports.io/football/venues/3521.png"
"Bilisht","Albania","Fusha Sportive Bilisht","フーシャ・スポルティーフ・ビリシュト","","","3000","https://media.api-sports.io/football/venues/5450.png"
"Patos","Albania","Stadiumi Alush Noga","アルシュ・ノガスタジアム","","","5000","https://media.api-sports.io/football/venues/7334.png"
"Himarë","Albania","Stadiumi Petro Ruci","ペトロ・ルチスタジアム","","","2000","https://media.api-sports.io/football/venues/7335.png"
"Gramsh","Albania","Fusha Sportive Gramshi","フーシャ・スポルティーフ・グラムシ","","","4000","https://media.api-sports.io/football/venues/7336.png"
"Ersekë","Albania","Stadiumi Gramozi","スタジアムグラモジ","","","4000","https://media.api-sports.io/football/venues/7337.png"
"Çorovodë","Albania","Fusha Sportive Skrapar","フーシャ・スポルティーフ・スクラパール","","","1500","https://media.api-sports.io/football/venues/7338.png"
"Pezë Helmës","Albania","Kompleksi Internacional","コンプレクシ・インターナショナル","SH56","","300","https://media.api-sports.io/football/venues/2165.png"
"Tiranë","Albania","Kompleksi Sportiv i Klubit Olimpik","Kompleksi Sportiv と Klubit Olimpik","Kashar","","1500","https://media.api-sports.io/football/venues/7347.png"
"Kukës","Albania","Stadiumi Zeqir Ymeri","ゼキル・イメリスタジアム","","","5400","https://media.api-sports.io/football/venues/7348.png"
"Kamëz","Albania","Kompleksi Stërvitor i Ekipeve Kombëtare","Kompleksi Stërvitor i Ekipeve Kombëtare","Rruga Montreal","","500","https://media.api-sports.io/football/venues/7350.png"
"Tirana","Albania","Qendra stërvitore Skënder Halili","ケンドラ・スタービトーレ・スケンダー・ハリリ","","","1000","https://media.api-sports.io/football/venues/7351.png"
"Delvinë","Albania","Fusha Sportive Delvinë","フーシャ・スポルティーフ・デルヴィネ","","","2000","https://media.api-sports.io/football/venues/7352.png"
"Këlcyrë","Albania","Stadiumi Demir Allamani","デミル・アラマニスタジアム","","","1000","https://media.api-sports.io/football/venues/7353.png"
"Korçë","Albania","Aneksi i Stadiumit Skenderbeu Korçe","アネクシ イ スタジアムイット スケンデルベウ コルチェ","Rruga Kristaq Papargjiri","","1000","https://media.api-sports.io/football/venues/20287.png"
"Memaliaj","Albania","Stadiumi Karafil Çaushi","カラフィルスタジアム","","","1000","https://media.api-sports.io/football/venues/7355.png"
"Përmet","Albania","Stadiumi Durim Qypi","スタジアムドゥリムキピ","","","4000","https://media.api-sports.io/football/venues/7356.png"
"Tepelenë","Albania","Stadiumi Sabaudin Shehu","サバウディン・シェフ競技場","","","2000","https://media.api-sports.io/football/venues/7357.png"
"Përrenjas","Albania","Stadiumi Domosdova","ドモシュドヴァスタジアム","","","1000","https://media.api-sports.io/football/venues/7358.png"
"Sukthi i Ri","Albania","Stadiumi Sukthi i Ri","スタジアム・スクティ・イ・リ","","","1000","https://media.api-sports.io/football/venues/7446.png"
"Durrës","Albania","Stadiumi Niko Dovana","ニコ・ドヴァナスタジアム","Rruga A. Goga","","12040","https://media.api-sports.io/football/venues/7447.png"
"Rrëshen","Albania","Stadiumi Mirdita","ミルディタスタジアム","Rruga Vincenco D&apos;Paoli","","1000","https://media.api-sports.io/football/venues/10649.png"
"Selenicë","Albania","Stadiumi Selenicë","セレニケスタジアム","","","4000","https://media.api-sports.io/football/venues/10650.png"
"Bajram Curri","Albania","Stadiumi Tropojë","トロポイエスタジアム","Rruga Sylejman Vokshi","","3000","https://media.api-sports.io/football/venues/20288.png"
"Nartë","Albania","Kompleksi Sportiv Labëria","コンプレクシ・スポーツ・ラベリア","","","300","https://media.api-sports.io/football/venues/12391.png"
"Tirana","Albania","Stadiumi Kombëtar Qemal Stafa","スタジアム コンベタル ケマル スタファ","Bulevardi Deshmoret e Kombit","","19700","https://media.api-sports.io/football/venues/5796.png"
"Algiers","Algeria","Stade du 20 Août 1955","スタッド・デュ・20・アウト 1955","Rue Mohamed Belouizdad","","20000","https://media.api-sports.io/football/venues/10.png"
"Sétif","Algeria","Stade du 8 Mai 1945","スタッド・デュ・8・メイ 1945","15, avenue du 8 mai 45","","25000","https://media.api-sports.io/football/venues/19.png"
"Algiers","Algeria","Stade Omar Hamadi","スタッド・オマール・ハマディ","12, avenue Commandant Mira, Bab El Oued","","17500","https://media.api-sports.io/football/venues/24.png"
"Oran","Algeria","Stade Ahmed Zabana","スタッド・アハメド・ザバナ","5/7, Boulevard Abane Ramdane","","55000","https://media.api-sports.io/football/venues/25.png"
"Médéa","Algeria","Stade Imam Lyes","スタッド・イマーム・リース","Boulevard de l&apos; ALN","","12000","https://media.api-sports.io/football/venues/1701.png"
"Biskra","Algeria","Stade 18 Février","スタッド18フェヴリエ","Boulevard Hamouda Abderezak","","35000","https://media.api-sports.io/football/venues/19338.png"
"Constantine","Algeria","Stade Mohamed-Hamlaoui","スタッド・モハメド・ハムラウイ","Cité les Muriers","","50000","https://media.api-sports.io/football/venues/16.png"
"Blida","Algeria","Stade Mustapha Tchaker","スタッド・ムスタファ・チャケル","Boulevard Colonel Lotfi","","45000","https://media.api-sports.io/football/venues/12.png"
"Algiers","Algeria","Stade Frères Zioui","スタッド・フレール・ジオウイ","3, rue Amar Bensmara, Hussein-Dey","","7000","https://media.api-sports.io/football/venues/20.png"
"Bechar","Algeria","Stade du 20 Août 1955","スタッド・デュ・20・アウト 1955","","","20000","https://media.api-sports.io/football/venues/2594.png"
"Hydra","Algeria","Stade Ahmed-Falek","スタッド・アハメド・ファレク","Immeuble La Résidence","","4000","https://media.api-sports.io/football/venues/27.png"
"Tadjenanet","Algeria","Stade Ismail Lahoua","スタッド・イスマイル・ラウア","","","5000","https://media.api-sports.io/football/venues/1823.png"
"Sidi Bel Abbès","Algeria","Stade du 24 février 1956","スタッド・デュ24フェヴリエ1956","Boulevard Zabana","","45000","https://media.api-sports.io/football/venues/9.png"
"Tizi-Ouzou","Algeria","Stade du 1er Novembre 1954","スタッド・デュ・プルミエ・ノヴェンブル 1954","Stade du 1er Novembre 1954","","25000","https://media.api-sports.io/football/venues/22.png"
"Algiers","Algeria","Stade du 1er novembre 1954","スタッド・デュ・11月1日 1954","01, rue des Bibans, al-Harrāsch, Mohammadia","","8000","https://media.api-sports.io/football/venues/18.png"
"Béjaïa","Algeria","Stade de l'Unité Maghrébine","スタッド・ドゥ・ユニテ・マグレビーヌ","Rue Aissat Idir","","19000","https://media.api-sports.io/football/venues/21.png"
"Relizane","Algeria","Stade Tahar Zoughari","スタッド・タハル・ズガリ","","","30000","https://media.api-sports.io/football/venues/1824.png"
"Batna","Algeria","Stade Seffouhi","スタッド・セフイ","Avenue de l&apos;Indépendance","","5000","https://media.api-sports.io/football/venues/11107.png"
"Bou Saâda","Algeria","Stade Mokhtar Abdelatif","スタッド・モクタール・アブデラティフ","","","3000","https://media.api-sports.io/football/venues/6.png"
"Oran","Algeria","Stade Habib Bouakeul","スタッド・ハビブ・ブアケウル","Route de Misserghin ou RN2","","20000","https://media.api-sports.io/football/venues/8.png"
"Bordj Bou Arréridj","Algeria","Stade du 20 Août 1955","スタッド・デュ・20・アウト 1955","Place de la Liberté","","20000","https://media.api-sports.io/football/venues/13.png"
"El Eulma","Algeria","Stade Municipal Hareche Ammar","スタッド・ミュニシパル・ハレチェ・アマール","Rue Bachir Guessab","","5000","https://media.api-sports.io/football/venues/19699.png"
"Mascara","Algeria","Stade Aoued Meflah","スタッド・アウエド・メフラ","","","5000","https://media.api-sports.io/football/venues/2659.png"
"Tlemcen","Algeria","Stade Akit Lotfi","スタッド・アキット・ロトフィ","Boulevard Colonel Lotfi","","18000","https://media.api-sports.io/football/venues/29.png"
"Aïn Fakroun","Algeria","Stade Municipal","スタッド・ミュニシパル","","","3000","https://media.api-sports.io/football/venues/2658.png"
"Aïn M&apos;lila","Algeria","Stade Touhami Zoubir Khelifi","スタッド・トゥハミ・ズビル・ケリフ​​ィ","","","5000","https://media.api-sports.io/football/venues/1864.png"
"Chlef","Algeria","Stade Mohamed Boumezrag","スタッド・モハメド・ブメズラグ","","","15000","https://media.api-sports.io/football/venues/15.png"
"Skikda","Algeria","Stade du 20 Août 1955","スタッド・デュ・20・アウト 1955","Les allées du 20 août 1955","","25000","https://media.api-sports.io/football/venues/2663.png"
"Saïda","Algeria","Stade 13 Avril 1958","スタッド13アヴリル1958","","","20000","https://media.api-sports.io/football/venues/28.png"
"Kouba","Algeria","Stade Omar Benhaddad","スタッド・オマール・ベンハッダ","","","10000","https://media.api-sports.io/football/venues/23.png"
"El-Khroub","Algeria","Stade Abed Hamdani","スタッド・アベド・ハムダニ","APC d&apos;El Khroub","","10000","https://media.api-sports.io/football/venues/2660.png"
"Larbaâ","Algeria","Stade Smaïl-Makhlouf","スタッド・スマイル・マフルーフ","","","8000","https://media.api-sports.io/football/venues/2662.png"
"Boufarik","Algeria","Stade Mohamed Reggaz","スタッド・モハメド・レガズ","","","10000","https://media.api-sports.io/football/venues/2661.png"
"Berrahal","Algeria","Stade Ben Alli Youcef Tacha","スタッド・ベン・アリ ユセフ・タシャ","Cité Sékou Touré Tabacoop","","5000","https://media.api-sports.io/football/venues/20454.png"
"Mostaganem","Algeria","Stade Commandant Ferradj","スタッド・コマンダント・フェラジ","10, rue Ben Salem Ammar","","15000","https://media.api-sports.io/football/venues/26.png"
"Magra","Algeria","Stade Municipal de Magra","スタッド・ムニシパル・デ・マグラ","","","8000","https://media.api-sports.io/football/venues/1814.png"
"Algiers","Algeria","Stade du 5 Juillet 1962","スタッド・デュ・5・ジュイエ 1962","Lotissement Benhadaddi, Villa 12B, Chéraga","","80200","https://media.api-sports.io/football/venues/5.png"
"Arzew","Algeria","Stade Menaouer-Kerbouci","スタッド・メナウエル・ケルブシ","","","15000","https://media.api-sports.io/football/venues/4656.png"
"Oum El Bouaghi","Algeria","Stade Zerdani Hassouna","スタッド・ゼルダニ・ハッソウナ","","","5000","https://media.api-sports.io/football/venues/7340.png"
"Hadjout","Algeria","Stade 5 Juillet 1962","スタッド5ジュイエ1962","Rue du Stade","","8000","https://media.api-sports.io/football/venues/7341.png"
"Koléa","Algeria","Stade OPOW de Koléa","スタッド OPOW デ コレア","","","15000","https://media.api-sports.io/football/venues/7342.png"
"Mérouana","Algeria","Stade Abderrahmene Bensaci","スタッド・アブデラメネ・ベンサシ","","","7000","https://media.api-sports.io/football/venues/7343.png"
"Batna","Algeria","Stade du 1er novembre 1954","スタッド・デュ・11月1日 1954","Cité Anasr","","20000","https://media.api-sports.io/football/venues/14.png"
"Constantine","Algeria","Stade Ben-Abdelmalek-Ramdhan","スタッド・ベン・アブデルマレク・ラムダン","Belle Vue","","6000","https://media.api-sports.io/football/venues/20455.png"
"Aïn Témouchent","Algeria","Stade Oucief Omar SIKI","スタッド・ウシエフ オマール・シキ","","","12000","https://media.api-sports.io/football/venues/7346.png"
"Ouargla","Algeria","Stade Ouargla OPOW","スタッド・ワルグラ OPOW","Route de Rouisset Ouargla","","18000","https://media.api-sports.io/football/venues/11108.png"
"Mecheria","Algeria","Stade De Mechria","スタッド・デ・メクリア","","","10000","https://media.api-sports.io/football/venues/19339.png"
"Sour El Ghozlane","Algeria","Stade Mohamed Derradji","スタッド・モハメド・デラジ","","","5000","https://media.api-sports.io/football/venues/20456.png"
"El-Bayadh","Algeria","Stade Zakaria Medjdoub","スタッド・ザカリア・メジュドゥブ","","","8000","https://media.api-sports.io/football/venues/19340.png"
"Khenchela","Algeria","Stade Hamam Ammar","スタッド・ハマム・アマール","Rue Ali Boussaha","","5000","https://media.api-sports.io/football/venues/11109.png"
"Boumerdes","Algeria","Complexe Sportif Boumerdès","ブメルデススポーツコンプレックス","","","10000","https://media.api-sports.io/football/venues/11110.png"
"Remchi","Algeria","Stade 18 Février","スタッド18フェヴリエ","Boulthir Mohamed Street","","1500","https://media.api-sports.io/football/venues/11111.png"
"Tiaret","Algeria","Stade Ahmed Kaïd","スタッド・アハメド・カイド","","","30000","https://media.api-sports.io/football/venues/11112.png"
"Ben Aknoun","Algeria","Stade Ben Aknoun","スタッド・ベン・アクノウン","","","5000","https://media.api-sports.io/football/venues/12562.png"
"Chelghoum Laïd","Algeria","Stade 11 Décembre 1960","スタッド11デサンブル1960","","","10000","https://media.api-sports.io/football/venues/19341.png"
"Teleghma","Algeria","Stade Khabaza Bachir","スタッド・ハバザ・バチル","","","3000","https://media.api-sports.io/football/venues/19622.png"
"Es Senia","Algeria","Stade Es Senia","スタッド・エス・セニア","","","5000","https://media.api-sports.io/football/venues/11114.png"
"M&apos;Sila","Algeria","Stade OPOW","スタッド OPOW","","","5000","https://media.api-sports.io/football/venues/11115.png"
"Ouargla","Algeria","Stade OPOW de Rouissat","スタッド OPOW ドゥ ルイサ","Route de Rouisset","","18000","https://media.api-sports.io/football/venues/20457.png"
"Réghaïa","Algeria","Stade Communal de Réghaïa","スタッド・コミュナル・デ・レガイア","","","3000","https://media.api-sports.io/football/venues/20458.png"
"El Oued","Algeria","Stade El Oued OPOW","スタッド・エル・ウエド OPOW","Route de Tebessa El Oued","","7200","https://media.api-sports.io/football/venues/20459.png"
"Algiers","Algeria","Stade du 5 Juillet 1962","スタッド・デュ・5・ジュイエ 1962","Lotissement Benhadaddi, Villa 12B, Chéraga","","80200","https://media.api-sports.io/football/venues/19649.png"
"Santa Coloma","Andorra","Centre d'Entrenament de la FAF 1","FAF 1 のトレナメント センター","Avenue de Santa Coloma","","2000","https://media.api-sports.io/football/venues/30.png"
"Andorra la Vella","Andorra","Estadi Nacional","ナショナルスタジアム","Baixada de Molí 31-35","","3306","https://media.api-sports.io/football/venues/2618.png"
"Encamp","Andorra","Camp de Futbol Municipal d'Encamp","カンプ デ フットボール ミュニシパル デンカンプ","Avinguda de Coprincep Episcopal","","600","https://media.api-sports.io/football/venues/2177.png"
"Sant Julià de Lòria","Andorra","Camp de Futbol d'Aixovall","カンプ・デ・フットボール・ダイショヴァル","Carretera d&apos;Os de Civís, Aixovall","","899","https://media.api-sports.io/football/venues/2178.png"
"Ordino","Andorra","Camp de Futbol d'Ordino","カンプ・デ・フットボール・ドルディーノ","Calle Narciso Yepes","","200","https://media.api-sports.io/football/venues/2179.png"
"Benguela","Angola","Estádio Nacional de OMBAKA","オンバカ国立スタジアム","Bairro da Taka","","35000","https://media.api-sports.io/football/venues/7135.png"
"Luanda","Angola","Estádio 11 de Novembro","11月11日スタジアム","Via Expresso, Bairro da Camama, Kilamba Kiaxi","","48500","https://media.api-sports.io/football/venues/3712.png"
"Benguela","Angola","Estádio Municipal Edelfride Palhares da Costa","エスタディオ ミュニシパル エーデルフリーデ パハレス ダ コスタ","Rua Domingos do Ó 79 / Rua Xavier Barreto, Bairro do Calohombo","","8000","https://media.api-sports.io/football/venues/3713.png"
"Lobito","Angola","Estádio do Buraco","エスタディオ ド ブラコ","Bairro Santa Cruz","","15000","https://media.api-sports.io/football/venues/3714.png"
"Lubango","Angola","Campo 11 de Novembro","11月11日キャンプ","Avenida 4 de Fevereiro / Rua Deolinda Rodrigues","","4000","https://media.api-sports.io/football/venues/3715.png"
"Menongue","Angola","Estádio Municipal de Menongue","エスタディオ ムニシパル デ メノング","bairro 1º de Maio","","2250","https://media.api-sports.io/football/venues/3716.png"
"Lubango","Angola","Estádio Provincial da Huíla (Ferroviário)","エスタディオ プロビンシャル ダ ウィラ (フェロヴィアリオ)","","","10000","https://media.api-sports.io/football/venues/10511.png"
"Luanda","Angola","Estádio Joaquim Dinis","ジョアキン・ディニス・スタジアム","Bairro Rocha Pinto","","10000","https://media.api-sports.io/football/venues/3718.png"
"Saurimo","Angola","Estádio das Mangueiras","エスタディオ ダス マンゲイラス","","","7000","https://media.api-sports.io/football/venues/3719.png"
"Luanda","Angola","Estádio Cidade Universitária","エスタディオ シダーデ ウニベルシタリア","Rua do Brasil / Rua do Senado da Camara Estrada, Rangel","","60000","https://media.api-sports.io/football/venues/3720.png"
"Calulo","Angola","Estádio Municipal de Calulo","カルーロ市営スタジアム","Rua 11 de Novembro","","5000","https://media.api-sports.io/football/venues/3721.png"
"Dundo","Angola","Estádio Quintalão","エスタディオ キンタラン","","","3000","https://media.api-sports.io/football/venues/3722.png"
"Cabinda","Angola","Estádio Municipal do Tafe","タフェ市営スタジアム","Bairro do Tafe","","9000","https://media.api-sports.io/football/venues/3723.png"
"Luanda","Angola","Estádio Municipal dos Coqueiros","エスタディオ ムニシパル ドス コケイロス","Rua dos Coqueiros","","12000","https://media.api-sports.io/football/venues/3724.png"
"Caála","Angola","Estádio Mártires da Canhala","エスタディオ マルティレス ダ カニャーラ","EN120","","12000","https://media.api-sports.io/football/venues/12545.png"
"Huambo","Angola","Estádio dos Kuricutelas","エスタディオ ドス クリクテラス","","","10000","https://media.api-sports.io/football/venues/3725.png"
"Caxito","Angola","Estádio Municipal do Dande","ダンデ市営スタジアム","","","5000","https://media.api-sports.io/football/venues/3726.png"
"Uíge","Angola","Estádio 4 de Janeiro","エスタディオ4デジャネイロ","","","5000","https://media.api-sports.io/football/venues/7449.png"
"N&apos;dalatando","Angola","Estádio Santos Dinizes","エスタディオ サントス ディニゼス","","","8000","https://media.api-sports.io/football/venues/7448.png"
"North Sound","Antigua and Barbuda","Sir Vivian Richards Stadium","サー・ヴィヴィアン・リチャーズ・スタジアム","Factory Road","","10000","https://media.api-sports.io/football/venues/4151.png"
"Liberta","Antigua and Barbuda","Kennedy’s Sports Complex","ケネディスポーツコンプレックス","","","1000","https://media.api-sports.io/football/venues/7371.png"
"Piggotts","Antigua and Barbuda","ABFA Technical Center","ABFAテクニカルセンター","Factory Road","","1000","https://media.api-sports.io/football/venues/20404.png"
"Capital Federal, Ciudad de Buenos Aires","Argentina","Estadio Mâs Monumental","エスタディオ マス モニュメンタル","Avenida Presidente José Figueroa Alcorta 7597, Núñez","","83214","https://media.api-sports.io/football/venues/19570.png"
"La Plata, Provincia de Buenos Aires","Argentina","Estadio Juan Carmelo Zerillo","エスタディオ フアン カルメロ セリージョ","Avenida 60 y 118","","24544","https://media.api-sports.io/football/venues/77.png"
"Avellaneda, Provincia de Buenos Aires","Argentina","Estadio Presidente Juan Domingo Perón","エスタディオ プレジデンテ フアン ドミンゴ ペロン","Calle Mozart y Orestes Omar Corbatta","","51500","https://media.api-sports.io/football/venues/99.png"
"Rosario, Provincia de Santa Fe","Argentina","Estadio Gigante de Arroyito","エスタディオ ヒガンテ デ アロイート","Avenida Génova y Avenida Centenario Rosario Central, Arroyito","","41654","https://media.api-sports.io/football/venues/19391.png"
"Capital Federal, Ciudad de Buenos Aires","Argentina","Estadio José Amalfitani","ジョゼ・アマルフィターニ・スタジアム","Avenida Juan B. Justo 9200, Liniers","","49747","https://media.api-sports.io/football/venues/115.png"
"Mendoza, Provincia de Mendoza","Argentina","Estadio Malvinas Argentinas","エスタディオ マルビナス アルヘンティーナス","Calle San Francisco De Asis y Boulogne Sur Mer Mendoza","","40268","https://media.api-sports.io/football/venues/80.png"
"Ciudad de Córdoba, Provincia de Córdoba","Argentina","Estadio Julio César Villagra","ジュリオ・セサル・ビジャグラ・スタジアム","Calle Dr. Arturo Orgaz 510 y La Rioja, Barrio Alberdi","","28000","https://media.api-sports.io/football/venues/45.png"
"Ciudad de Santa Fe, Provincia de Santa Fe","Argentina","Estadio 15 de Abril","エスタディオ 15 デ アブリル","Bulevar Pellegrini y Avenida Vicente López y Planes 3513","","27000","https://media.api-sports.io/football/venues/1933.png"
"Florencio Varela, Provincia de Buenos Aires","Argentina","Estadio Norberto Tito Tomaghello","エスタディオ ノルベルト ティト トマゲロ","Avenida Humahuaca y Calle 611","","20000","https://media.api-sports.io/football/venues/59.png"
"Bahía Blanca, Provincia de Buenos Aires","Argentina","Estadio Roberto Natalio Carminatti","エスタディオ ロベルト ナタリオ カルミナッティ","Avenida Colón y Calle Angel Brunel","","15000","https://media.api-sports.io/football/venues/95.png"
"Paraná, Provincia de Entre Ríos","Argentina","Estadio Presbítero Bartolomé Grella","エスタディオ プレスビテロ バルトロメ グレラ","Calle Ayacucho y Calle Churruarín","","22000","https://media.api-sports.io/football/venues/96.png"
"Capital Federal, Ciudad de Buenos Aires","Argentina","Estadio Tomás Adolfo Ducó","トマス・アドルフォ・ドゥコ・スタジアム","Avenida Amancio Alcorta 2570, Parque Patricios","","48314","https://media.api-sports.io/football/venues/82.png"
"Lanús, Provincia de Buenos Aires","Argentina","Estadio Ciudad de Lanús - Néstor Díaz Pérez","エスタディオ・シウダー・デ・ラヌース - ネストル・ディアス・ペレス","Calle General J. Arias y J. Héctor Guidi","","46619","https://media.api-sports.io/football/venues/88.png"
"General San Martín, Provincia de Buenos Aires","Argentina","Estadio de Chacarita Juniors","エスタディオ デ チャカリタ ジュニアーズ","Calle Gutierrez 351, Villa Maipú","","24300","https://media.api-sports.io/football/venues/54.png"
"Ciudad de Santa Fe, Provincia de Santa Fe","Argentina","Estadio Brigadier General Estanislao López","エスタディオ エスタニスラオ・ロペス准将","Calle Juan José Paso y Boulevard Doctor Zavalla","","40000","https://media.api-sports.io/football/venues/57.png"
"Lomas de Zamora, Provincia de Buenos Aires","Argentina","Estadio Florencio Solá","フロレンシオ・ソラ・スタジアム","Calle General Arenales y Peña","","34901","https://media.api-sports.io/football/venues/43.png"
"La Plata, Provincia de Buenos Aires","Argentina","Estadio Único Diego Armando Maradona","エスタディオ・ウニコ・ディエゴ・アルマンド・マラドーナ","Avenida 25 y 32","","53000","https://media.api-sports.io/football/venues/12716.png"
"Ciudad de Buenos Aires","Argentina","Estadio Alberto José Armando","エスタディオ アルベルト ホセ アルマンド","Brandsen 805, La Boca","","49000","https://media.api-sports.io/football/venues/46.png"
"San Fernando, Provincia de Buenos Aires","Argentina","Estadio José Dellagiovanna","ジョゼ・デラジョヴァンナ・スタジアム","Avenida Presidente Perón 2650 esq. Guido Spano 1053, Victoria","","26282","https://media.api-sports.io/football/venues/112.png"
"Avellaneda, Provincia de Buenos Aires","Argentina","Estadio Libertadores de América","エスタディオ リベルタドーレス デ アメリカ","Calle Ricardo Enrique Bochini 751/83 esq. Alsina","","52364","https://media.api-sports.io/football/venues/7131.png"
"Temperley, Provincia de Buenos Aires","Argentina","Estadio Alfredo Martín Beranger","エスタディオ アルフレド マルティン ベレンジャー","Avenida 9 de Julio 360 (entre Coronel Dorrego y Coronel Brandsen)","","19500","https://media.api-sports.io/football/venues/111.png"
"San Miguel de Tucumán, Provincia de Tucumán","Argentina","Estadio Monumental Presidente José Fierro","エスタディオ モニュメンタル プレジデンテ ホセ フィエロ","25 de Mayo 1351 y República de Chile, Barrio Norte","","35200","https://media.api-sports.io/football/venues/42.png"
